GameNR P1 P2 Finale

1 7 0 1
2 6 0 1
3 6 1 1
4 6 3 1
5 5 0 1
6 5 2 1
7 6 0 1
8 6 0 1
9 6 0 1
10 4 5 2
11 6 0 1
12 7 0 1
13 6 0 1
14 7 1 1
15 6 0 1
16 5 2 1
17 6 0 1
18 6 0 1
19 6 0 1
20 7 1 1
21 7 0 1
22 7 0 1
23 6 0 1
24 7 0 1
25 7 0 1
26 7 0 1
27 6 0 1
28 7 0 1
29 6 0 1
30 7 0 1
31 6 1 1
32 7 0 1
33 8 1 1
34 5 1 1
35 6 0 1
36 6 0 1
37 7 0 1
38 4 4 2
39 6 4 2
40 5 1 1
41 5 0 1
42 8 0 1
43 7 0 1
44 7 0 1
45 5 0 1
46 6 0 1
47 7 0 1
48 6 0 1
49 6 0 1
50 5 2 1
51 5 3 1
52 6 1 1
53 6 0 1
54 6 0 1
55 6 0 1
56 6 0 1
57 6 0 1
58 7 2 1
59 4 3 1
60 4 2 1
61 6 0 1
62 6 2 1
63 5 1 1
64 6 0 1
65 4 1 1
66 6 0 1
67 6 0 1
68 6 0 1
69 7 2 1
70 7 0 1
71 6 2 1
72 7 0 1
73 7 0 1
74 6 2 1
75 6 1 1
76 6 0 1
77 5 2 1
78 5 4 2
79 5 0 1
80 7 0 1
81 6 0 1
82 6 0 1
83 4 2 1
84 6 1 1
85 7 0 1
86 5 1 1
87 5 1 1
88 6 1 1
89 6 0 1
90 6 0 1
91 7 0 1
92 7 0 1
93 7 0 1
94 3 6 2
95 6 0 1
96 5 1 1
97 4 1 1
98 5 1 1
99 6 1 1
100 6 0 1
101 6 0 1
102 6 0 1
103 7 1 1
